Filename,Accuracy,Count,Type,Race,Gender,Group
37.R.W.M.png,0.15094339622641512,53,R,W,M,Hard
35.R.B.M.png,0.163265306122449,49,R,B,M,Hard
4.R.SA.M.png,0.09259259259259262,54,R,SA,M,Hard
36.R.EA.M.png,0.12244897959183672,49,R,EA,M,Hard
31.R.W.F.png,0.15686274509803927,51,R,W,F,Hard
3.R.B.F.png,0.163265306122449,49,R,B,F,Hard
30.R.SA.F.png,0.08333333333333336,48,R,SA,F,Hard
26.R.EA.F.png,0.163265306122449,49,R,EA,F,Hard
33.S.W.M.png,0.13333333333333336,45,S,W,M,Hard
2.S.B.M.png,0.16,50,S,B,M,Hard
2.S.SA.M.png,0.16,50,S,SA,M,Hard
2.S.EA.M.png,0.16,50,S,EA,M,Hard
13.S.W.F.png,0.1320754716981132,53,S,W,F,Hard
5.S.B.F.png,0.32075471698113206,53,S,B,F,Hard
22.S.SA.F.png,0.19230769230769232,52,S,SA,F,Hard
34.S.EA.F.png,0.16,50,S,EA,F,Hard
23.R.W.M.png,0.44897959183673464,49,R,W,M,Average
28.R.B.M.png,0.44897959183673464,49,R,B,M,Average
28.R.SA.M.png,0.44897959183673464,49,R,SA,M,Average
20.R.EA.M.png,0.44000000000000006,50,R,EA,M,Average
7.R.W.F.png,0.4629629629629629,54,R,W,F,Average
22.R.B.F.png,0.4423076923076923,52,R,B,F,Average
2.R.SA.F.png,0.44000000000000006,50,R,SA,F,Average
11.R.EA.F.png,0.4782608695652174,46,R,EA,F,Average
46.S.W.M.png,0.45098039215686275,51,S,W,M,Average
29.S.B.M.png,0.4444444444444444,54,S,B,M,Average
8.S.SA.M.png,0.4509803921568628,51,S,SA,M,Average
31.S.EA.M.png,0.4509803921568628,51,S,EA,M,Average
47.S.W.F.png,0.44000000000000006,50,S,W,F,Average
34.S.B.F.png,0.44000000000000006,50,S,B,F,Average
30.S.SA.F.png,0.45833333333333337,48,S,SA,F,Average
27.S.EA.F.png,0.4615384615384615,52,S,EA,F,Average
12.R.W.M.png,0.8301886792452831,53,R,W,M,Easy
30.R.B.M.png,0.8333333333333333,48,R,B,M,Easy
43.R.SA.M.png,0.8627450980392157,51,R,SA,M,Easy
48.R.EA.M.png,0.803921568627451,51,R,EA,M,Easy
1.R.W.F.png,0.7916666666666666,48,R,W,F,Easy
31.R.B.F.png,0.8235294117647058,51,R,B,F,Easy
12.R.SA.F.png,0.7924528301886793,53,R,SA,F,Easy
50.R.EA.F.png,0.7407407407407407,54,R,EA,F,Easy
15.S.B.M.png,0.8679245283018868,53,S,B,M,Easy
17.S.SA.M.png,0.7358490566037735,53,S,SA,M,Easy
32.S.EA.M.png,0.8113207547169812,53,S,EA,M,Easy
34.S.W.F.png,0.64,50,S,W,F,Easy
9.S.B.F.png,0.8,45,S,B,F,Easy
19.S.SA.F.png,0.8775510204081634,49,S,SA,F,Easy
6.S.EA.F.png,0.78,50,S,EA,F,Easy
36.S.B.M.png,0.8367346938775511,49,S,B,M,Easy
